name,address,genre,sources,urlシュラスコ&ビアレストランALEGRIA 五反田,東京都 品川区 西五反田 1-30-2 ウイン五反田 B1F,steak,tabelog,https://tabelog.com/tokyo/A1316/A131603/13214271/
鉄板焼 桂,東京都 港区 高輪 3-13-1 グランドプリンスホテル高輪,steak,tabelog,https://tabelog.com/tokyo/A1316/A131603/13013967/
フォルクス 世田谷代田店,東京都 世田谷区 代田 1-9-10,steak,tabelog,https://tabelog.com/tokyo/A1318/A131812/13023824/
シュラスコ&ビアレストラン ALEGRIA 外苑前,東京都 港区 北青山 2-7-25 神宮外苑ビル 2F,steak,tabelog,https://tabelog.com/tokyo/A1306/A130603/13314649/
博多小皿鉄板 べっぴんしゃん,東京都 新宿区 新宿 1-31-16 ヤノビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130402/13281835/
BRIANZA TOKYO,東京都 千代田区 大手町 2-6-4 TOKYO TORCH Terrace 2F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130201/13260715/
グリルビストロ POIVRER,東京都 中央区 銀座 8-2-1 ニッタビル 10F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130103/13303761/
THE UPPER,東京都 千代田区 丸の内 1-3-4 丸の内テラス 10F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130201/13251516/
Dos Escenas,東京都 港区 赤坂 1-12-32 赤坂アークヒルズ・ アーク森ビル 2F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13283550/
A5和牛肉料理専門店 ONIQUE TOKYO,東京都 港区 芝 5-31-24 勝文館共同ビル 8F,steak,tabelog,https://tabelog.com/tokyo/A1314/A131402/13224264/
for bal meat,東京都 台東区 上野 7-2-16 サウナ・カプセルホテル北欧 1F,steak,tabelog,https://tabelog.com/tokyo/A1311/A131101/13205483/
ニユートーキヨー ビヤホール 有楽町電気ビル店,東京都 千代田区 有楽町 1-7-1 有楽町電気ビル B1F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130102/13179429/
六本木 鉄板焼 ORCA,東京都 港区 六本木 3-10-11 青木ビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13264671/
小石川 中勢以,東京都 文京区 小石川 5-10-18,steak,tabelog,https://tabelog.com/tokyo/A1323/A132302/13152057/
ニュー松坂 新宿店,東京都 渋谷区 千駄ヶ谷 5-24-2 タカシマヤタイムズスクエア 14F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13276291/
鉄板焼 いちか,東京都 渋谷区 東 2-14-13,steak,tabelog,https://tabelog.com/tokyo/A1303/A130302/13118424/
鉄板焼 美安 品川高輪,東京都 港区 高輪 3-10-3 サンクレメンテ高輪 2F,steak,tabelog,https://tabelog.com/tokyo/A1316/A131603/13301286/
