# generated_at_utc=2026-07-16T03:29:59.608262+00:00
# source_scope=hotpepper,legacy_local
# current_snapshot_at=2026-07-15
# legacy_snapshot_at=2025-12-06
# match_radius_meters=50
# total_records=8444
name,address,lat,lng,carnivore_rank,carnivore_score,genre,rating,review_count,sources,url,notes,lunch_budget_min,lunch_budget_max,dinner_budget_min,dinner_budget_max,budget_lunch,budget_dinner,avg_dinner_budget,hotpepper_url,legacy_id,data_status,last_verified_at
029吉祥寺食堂,東京都 武蔵野市 吉祥寺東町 1-6-1,35.7065407378,139.5814384836,,,ステーキ,,,legacy_local,,,1000,1999,1000,1999,,,,,legacy_9dc277373cc9c17c6ab7,legacy_unverified,2025-12-06
0831 yummy,東京都渋谷区恵比寿西２-17-9-1F,35.6486282829,139.7053671519,C,0.0,ダイニングバー・バル,,,hotpepper,https://www.hotpepper.jp/strJ001209315/?vos=nhppalsa000016,主ジャンル: ダイニングバー・バル,,,,,,5500,5500,https://www.hotpepper.jp/strJ001209315/?vos=nhppalsa000016,,current,2026-07-15
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 五反田店,東京都品川区西五反田１丁目４－８　秀和五反田駅前レジデンス　２Ｆ,35.6252719391,139.7231385295,A,67.0,焼肉・ホルモン,,,"hotpepper,legacy_local",https://www.hotpepper.jp/strJ001266670/?vos=nhppalsa000016,主ジャンル: 焼肉・ホルモン,1000,1999,1000,1999,,2500,2500,https://www.hotpepper.jp/strJ001266670/?vos=nhppalsa000016,legacy_263c8a071d585b85042c,current,2026-07-15
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 北千住店,東京都足立区千住旭町41-17 染野ビル 2F,35.7496571245,139.8058695536,S,91.0,焼肉,,,hotpepper,https://www.hotpepper.jp/strJ003498656/?vos=nhppalsa000016,"主ジャンル: 焼肉・ホルモン, 居酒屋",,,,,,3000,3000,https://www.hotpepper.jp/strJ003498656/?vos=nhppalsa000016,,legacy_unverified,2025-12-06
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 多摩センター店,東京都多摩市落合１丁目9-2クロダビル2F,35.6253628243,139.4236689405,A,67.0,"居酒屋, 焼肉・ホルモン",,,"hotpepper,legacy_local",https://www.hotpepper.jp/strJ003850780/?vos=nhppalsa000016,"主ジャンル: 居酒屋, 焼肉・ホルモン",,,3000,3999,,2500,2500,https://www.hotpepper.jp/strJ003850780/?vos=nhppalsa000016,legacy_eef5d4b7c699b05c41b0,current,2026-07-15
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 新宿南口店,東京都渋谷区代々木２丁目１０－１　新宿サンセイビル　２F,35.6880575529,139.6984225422,A,67.0,焼肉・ホルモン,,,hotpepper,https://www.hotpepper.jp/strJ001292325/?vos=nhppalsa000016,主ジャンル: 焼肉・ホルモン,,,,,,2500,2500,https://www.hotpepper.jp/strJ001292325/?vos=nhppalsa000016,,current,2026-07-15
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 新宿西口店,東京都新宿区西新宿１－19－2シルバービル2F,35.6883536079,139.6975728801,A,67.0,"居酒屋, 焼肉・ホルモン",,,hotpepper,https://www.hotpepper.jp/strJ003365258/?vos=nhppalsa000016,"主ジャンル: 居酒屋, 焼肉・ホルモン",,,,,,2500,2500,https://www.hotpepper.jp/strJ003365258/?vos=nhppalsa000016,,current,2026-07-15
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 浅草六区店,東京都台東区浅草１-43-10 レクス浅草2階,35.7135591666,139.7928543405,A,67.0,焼肉・ホルモン,,,hotpepper,https://www.hotpepper.jp/strJ003450025/?vos=nhppalsa000016,主ジャンル: 焼肉・ホルモン,,,,,,2500,2500,https://www.hotpepper.jp/strJ003450025/?vos=nhppalsa000016,,current,2026-07-15
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 渋谷店,東京都渋谷区道玄坂１-5-5 藤木ビル2F,35.6580670606,139.6993472825,A,79.0,"焼肉・ホルモン, 居酒屋",,,hotpepper,https://www.hotpepper.jp/strJ001247033/?vos=nhppalsa000016,"主ジャンル: 焼肉・ホルモン, 居酒屋",,,,,,2500,2500,https://www.hotpepper.jp/strJ001247033/?vos=nhppalsa000016,,current,2026-07-15
0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 葛西店,東京都江戸川区中葛西３-35-2 2F,35.6640613003,139.8718921493,A,67.0,焼肉・ホルモン,,,hotpepper,https://www.hotpepper.jp/strJ003366627/?vos=nhppalsa000016,主ジャンル: 焼肉・ホルモン,,,,,,2500,2500,https://www.hotpepper.jp/strJ003366627/?vos=nhppalsa000016,,current,2026-07-15
1004 チョンサ 新大久保店,東京都新宿区大久保１丁目-15-7,35.7002102009,139.7031094326,A,67.0,"韓国料理, 焼肉・ホルモン",,,hotpepper,https://www.hotpepper.jp/strJ004591744/?vos=nhppalsa000016,"主ジャンル: 韓国料理, 焼肉・ホルモン",,,,,,2500,2500,https://www.hotpepper.jp/strJ004591744/?vos=nhppalsa000016,,current,2026-07-15
10 TSUBO SAKABA 太郎 No.4,東京都 北区 王子 1-25-7,35.7560292379,139.7394193840,,,もつ焼き,,,legacy_local,,,,,2000,2999,,,,,legacy_0d4ead2512164f39df8d,legacy_unverified,2025-12-06
1129 by Ogawa,東京都 港区 台場 1-6-1 デックス東京ビーチ 6F,35.6293797379,139.7761046827,,,ステーキ,,,legacy_local,,,1000,1999,3000,3999,,,,,legacy_6a306615d4890070f48b,legacy_unverified,2025-12-06
135酒場 御徒町店,東京都 台東区 上野 5-25-8 御徒町グランディアビル 2F,35.7073811783,139.7753848585,,,焼き鳥,,,legacy_local,,,,999,2000,2999,,,,,legacy_346a4d03f2ec52399f6f,legacy_unverified,2025-12-06
1ポンドステーキ&クラフトビール ハックルベリー 瑞江,東京都 江戸川区 南篠崎町 3-24-5,35.6945526379,139.9002456833,,,ステーキ,,,legacy_local,,,1000,1999,3000,3999,,,,,legacy_eef07159ca5d8877122f,legacy_unverified,2025-12-06
2951,東京都 品川区 北品川 1-12-7,35.6240214681,139.7427080770,,,焼肉,,,legacy_local,,,1000,1999,6000,7999,,,,,legacy_2c20e2e3ac2430c42eed,legacy_unverified,2025-12-06
2951 にーきゅうごーいち,東京都品川区北品川１-１２-７,35.6240234369,139.7426941454,A,67.0,焼肉・ホルモン,,,hotpepper,https://www.hotpepper.jp/strJ003916148/?vos=nhppalsa000016,主ジャンル: 焼肉・ホルモン,,,,,,5500,5500,https://www.hotpepper.jp/strJ003916148/?vos=nhppalsa000016,,current,2026-07-15
298,東京都 葛飾区 奥戸 6-15-17,35.7326042883,139.8693458937,,,ステーキ,,,legacy_local,,,,,2000,2999,,,,,legacy_5b7a1f8701ea5c8830ed,legacy_unverified,2025-12-06
2980円食べ放題飲み放題×個室 本格火鍋しゃぶしゃぶ 辛楽川 池袋西口,東京都豊島区西池袋１丁目２９－６　池袋大野ビル６F,35.732404018,139.711168283,C,30.0,居酒屋,,,hotpepper,https://www.hotpepper.jp/strJ003625336/?vos=nhppalsa000016,主ジャンル: 居酒屋,,,,,,2500,2500,https://www.hotpepper.jp/strJ003625336/?vos=nhppalsa000016,,current,2026-07-15
299円均一個室居酒屋 九十九 新宿本店,東京都 新宿区 歌舞伎町 1-18-8 第一モナミビル 7F,35.6947706848,139.7017204458,,,焼き鳥,,,legacy_local,,,,,2000,2999,,,,,legacy_57e49f3515b787623dac,legacy_unverified,2025-12-06
299円均一個室居酒屋 炭火焼き鳥 九十九 池袋東口店,東京都 豊島区 南池袋 1-27-8 大庄池袋東口ビル 5F,35.7294246740,139.7129309748,,,焼き鳥,,,legacy_local,,,2000,2999,2000,2999,,,,,legacy_a3209fb2b5a2718b61f2,legacy_unverified,2025-12-06
29ジャンキー,東京都 港区 六本木 4-8-12,35.6641311778,139.7331567457,,,焼肉,,,legacy_local,,,1000,1999,6000,7999,,,,,legacy_fb02b6ae2906f1301fc1,legacy_unverified,2025-12-06
29テラス 代々木,東京都渋谷区千駄ヶ谷５-22-3 仰徳ビル１F,35.6834232196,139.7038486577,A,67.0,"焼肉・ホルモン, 居酒屋",,,hotpepper,https://www.hotpepper.jp/strJ001281979/?vos=nhppalsa000016,"主ジャンル: 焼肉・ホルモン, 居酒屋",,,,,,5500,5500,https://www.hotpepper.jp/strJ001281979/?vos=nhppalsa000016,,current,2026-07-15
２階のぞうさん,東京都 国分寺市 本町 3-9-6 2F,35.7024789378,139.4801749836,,,その他,,,legacy_local,,,1000,1999,3000,3999,,,,,legacy_ba93d814b68663ea24b5,legacy_unverified,2025-12-06
300BONE サンビャクビイワン 新宿店,東京都新宿区西新宿７-10-10　西村ビルB1F-2,35.6939277153,139.6980192843,A,79.0,焼肉,,,hotpepper,https://www.hotpepper.jp/strJ001153753/?vos=nhppalsa000016,"主ジャンル: 居酒屋, 焼肉・ホルモン",,,,,,4500,4500,https://www.hotpepper.jp/strJ001153753/?vos=nhppalsa000016,,legacy_unverified,2025-12-06
300BONE サンビャクビイワン 池袋店,東京都豊島区西池袋３－３０－１１　泰共ビル１Ｆ,35.7309626691,139.7066190049,A,67.0,"居酒屋, 焼肉・ホルモン",,,hotpepper,https://www.hotpepper.jp/strJ000000806/?vos=nhppalsa000016,"主ジャンル: 居酒屋, 焼肉・ホルモン",,,,,,3500,3500,https://www.hotpepper.jp/strJ000000806/?vos=nhppalsa000016,,current,2026-07-15
